item_id,title,category,description,price,image_url
B07CHCL9GG,"50FT Outdoor Patio String Lights with 50 Clear Globe G40 Bulbs, UL Certified for Indoor/Outdoor Patio Backyard Pool Pergola Market Cafe Porch Garden Marquee Letter Decor",STRING_LIGHT,,29.99,
B07DC8673V,Amazon Basics MFi-Certified Lightning to USB A Cable for Apple iPhone and iPad - 4 Inches (10 Centimeters) - White,ELECTRONIC_CABLE,,5.99,
B07DKDGZZY,"25Ft Outdoor Patio String Lights with 25 Clear Globe G40 Bulbs,UL Certified for Patio Porch Backyard Deck Bistro Gazebos Pergolas Balcony Wedding Gathering Parties Markets Decor, Black",STRING_LIGHT,,15.99,
B07DYCSP24,"Fat Plants San Diego Succulent Plant(s) Fully Rooted in 4 inch Planter Pots with Soil - Real Live Potted Succulents/Unique Indoor Cactus Decor (1, Crassula Ovata Jade Plant)",PLANT_SEED,,15.0,
B07F4F8N6Z,Group Gifting Baby Registry Contribution,GIFT_CARD,,30.0,
B07FGBSF45,"Amazon Brand - Solimo 2-Ply Toilet Paper, 6 Count (Pack of 5)",TOILET_PAPER,,19.99,
B07FXR9NMK,"Organic Daechun(Choi's1) Roasted Seaweed, GIM (50 Full Sheets), Sushi Nori, Resealable, Gold Grade, Vegan, Gluten Free, Product of Korea",GROCERY,,14.99,
B07HF8YW4K,ProEtrade Wool Socks for Womens Winter Warm Thick Hiking Thermal Boot Cozy Crew Cabin Comfy Ladies Work Socks 5 Pack,SOCKS,,13.99,
B07J5SPXQW,"Andy Anand’s Chocolates- Premium California Blueberries covered with Vegan Rich Dark Chocolate in Gift Basket, All-Natural and certified Made from Natural Ingredients (1 LBS)",CHOCOLATE_CANDY,,19.84,
B07JKVV3LP,"Manitoba Harvest Hemp Yeah! Granola, Blueberry, 10oz, with 10 g of Protein, 3.6 g Omegas, 3 g of Fiber and less than 10 g Sugar Per Serving, Organic, Non-GMO, Packaging May Vary",BREAKFAST_CEREAL,,4.99,
B07K14489W,"Calvin Klein Home Donald, Bath Towel, White/Black",TOWEL,,19.99,
B07KBM781L,"Artisan Salt Company Alaea Red Hawaiian-style Sea Salt, Coarse, Zip-Top Pouch, 4 Ounce",CULINARY_SALT,,5.86,
B07KKFXFFD,ASICS Women's Gel-Cumulus 21 Running Shoes,SHOES,,97.3,
B07KTJJLSM,nan,nan,,10.99,
B07L88GWMN,"Rainleaf Microfiber Towel Perfect Travel & Sports &Beach Towel. Fast Drying - Super Absorbent - Ultra Compact. Suitable for Camping, Backpacking,Gym, Beach, Swimming,Yoga",TOWEL,,10.99,
B07LDXFZQB,Meyeeka Womens Casual High Waist Flared A-line Skirt Pleated Midi Skirt with Pocket,SKIRT,,19.99,
B07MB9XLW9,"Brawny Tear-A-Square Paper Towels, 16 Double Rolls = 32 Regular Rolls, 3 Sheet Size Options, Quarter Size Sheets",PAPER_TOWEL,,30.99,
B07MFVNJZC,Chaco Women's Z1 Classic Sandal,SANDAL,,78.75,
B07MNKJGVX,"VIGORPACE 28"" Inseam Fleece Lined Thermal Tights Moisture Absorption(XS)",PANTS,,20.99,
B07NKXLX8S,GLAMBURG Premium Cotton 4 Pack Bath Towel Set - 100% Pure Cotton - 4 Bath Towels 27x54 - Ideal for Everyday use - Ultra Soft & Highly Absorbent - Black,TOWEL,,27.99,
B07NQ43CXH,Amazon Essentials Women's Loafer Flat,SHOES,,23.0,
B07NQ567PD,Amazon Essentials Women's Loafer Flat,SHOES,,23.0,
B07NQ6LRJ1,Amazon Essentials Women's Loafer Flat,SHOES,,23.0,
B07QPC797V,"Reli. Biodegradable 33 Gallon Trash Bags (100 Count Bulk) Green Eco Friendly Garbage Bags 30 Gallon, 33 Gallon, 35 Gal Capacity, OXO-Biodegradable Under Certain Conditions (See Product Description)",WASTE_BAG,,25.99,
B07QPCGWF7,"Moleskine Classic Notebook, Hard Cover, XXL (8.5"" x 11"") Dotted, Black, 192 Pages",BLANK_BOOK,,25.49,
B07QXPLB16,18K Gold Circle Stud Earrings 10MM Small Round Hoop Post Stud for Women Minimalist Cubic Zirconia Flower Post Earring Unisex,EARRING,,10.99,
B07S6252RQ,"Ice Cube Trays, WETONG 2 Pack Silicone Ice Cube Molds with Lid Flexible Ice Trays BPA Free, for Whiskey, Cocktail, Stackable Flexible Safe Ice Cube Molds (1-74)",ICE_CUBE_TRAY,,12.99,
B07S8WM6XC,TOPTIE Custom Soccer Pinnies Scrimmage Vest Personalized Team Practice Jersey (Add Your Name/Number),SHIRT,,8.73,
B07S9YCV67,TOPTIE Custom Soccer Pinnies Scrimmage Vest Personalized Team Practice Jersey (Add Your Name/Number),SHIRT,,8.73,
B07STLD1H7,Kellogg's Fruit Loops Birthday Cake Cereal (19.4 oz) Limited Edition,BREAKFAST_CEREAL,,13.23,
B07TQLSK3P,"Nike Women's Pro Indy Sports Bra (Wine/Black, Small)",BRA,,35.95,
B07TV7ZHT2,"Amazon Brand - Happy Belly Old Fashioned Oats, 18 Ounce",BREAKFAST_CEREAL,,2.42,
B07V7V6BP5,"mDesign Fabric Geometric Shower Curtain - Herringbone Chevron Print with Reinforced Buttonholes for Master/Guest Bathroom - Machine Washable & Water Resistant Curtains - 72"" x 72"" - Black/White",CURTAIN,,12.99,
B07VTN6G51,"Amazon Brand - Solimo Extra Comfort Mint Dental Floss, 40 M",DENTAL_FLOSS,,3.99,
B07WRF6ZTS,Natural Coconut Bowls with Spoon (Pack of 2)- Organic - Hand Made - Salad Smoothie or Buddha Bowl - Made from Reclaimed Coconut Shells,DINNERWARE,,10.0,
B07X33FQ4X,LBRO2M Bed Sheet,BED_LINEN_SET,,45.79,
B07X9JTGPR,"RUNNING GIRL Sports Bra for Women, Criss-Cross Back Padded Strappy Sports Bras Medium Support Yoga Bra with Removable Cups",BRA,,18.99,
B07Z44JLSB,KAF Home Soho Kitchen Dish Towel Set of 10 | 18 x 28 Inch Tea Towels | Soft and Absorbent Mixed Set of Flat Towels (Teal),TOWEL,,15.99,
B07Z8666WZ,"Two in One High Density Foam Roller Set, Back Roller for Deep Tissue Massage and Exercise, Muscle Roller for Back, Yoga Neck, Leg, Arm and Feet",MUSCLE_ROLLER,,13.99,
B07ZQNS2FY,"Bob's Red Mill Organic Extra Thick Rolled Oats, 32-ounce (Pack of 4)",BREAKFAST_CEREAL,,15.52,
B08173KH18,ASICS Women's Gel-Quantum 360 Knit 2 Running Shoes,SHOES,,99.95,
B0825TR4TK,Ubon 2/3 Person Lightweight Instant Tent Durable Pop Up Indoor Tent Portable Outdoor Backyard Tent for Camping Backpacking,TENT,,46.99,
B083SDV93R,Black Edamame dry roasted edamame snacks (sea salt) High protein snacks low carb low sugar. Vegan keto snacks zero carb no sugar. Young soybeans by Keto Naturals (3 Packs),LEGUME,,9.49,
B0854WL4G3,"Quilted Northern Ultra Plush® Toilet Paper, 18 Mega Rolls = 72 Regular Rolls, 3-Ply Bath Tissue",TOILET_PAPER,,16.49,
B085G74BGY,nan,nan,,13.99,
B085MQKVGF,Face Mask Reusable Pack of 2 Washable Black Dust Cotton Masks Face Protection Cover with Pocket,SAFETY_MASK,,20.99,
B086Z89FG7,WITHMOONS Face Mask Cotton Reusable Washable Multiple Layers Masks Cover Shield with Nose Wire EU0306,TOOLS,,5.49,
B08B2NZSLR,"Terrasoul Superfoods Organic Rolled Oats, 5 lbs - Gluten-Free | Old-Fashioned | Whole Grain",BREAKFAST_CEREAL,,18.99,
B08C2821QN,nan,nan,,13.54,
B08C2JGWH1,nan,nan,,5.49,
B08DNGBQCL,Sleeping Bags for Adults Backpacking Lightweight Waterproof- Cold Weather Sleeping Bag for Girls Boys Mens for Warm Camping Hiking Outdoor Travel Hunting with Compression Bags,SLEEPING_BAG,,24.98,
B08F2TK65X,"Candle Lighter, USB Charging Electric Arc Lighter with LED Power Display, Rotatable Long Neck Lighter Suitable for Lighting Candles, Camping, Cooking, Barbecue Fireworks (Black)",MECHANICAL_LIGHTER,,9.99,
B08GF5B67L,Vegan Biodegradable Bamboo Charcoal Dental Floss with Refillable Bamboo Container | Free Refill | Natural Candelilla Wax | 55yds x2 | Peppermint Essential Oil | Eco Friendly | Zero Waste Oral Care,DENTAL_FLOSS,,12.69,
B08KNZL6BB,"MATBEBY Bedding Quilted Fitted Full Mattress Pad Cooling Breathable Fluffy Soft Mattress Pad Stretches up to 21 Inch Deep, Full Size, White, Mattress Topper Mattress Protector",MATTRESS_COVER,,26.25,
B08L8R52HZ,"Colgate Total Whitening + Charcoal Toothpaste, 10 Benefits Including Sensitivity Relief and Teeth Whitening Toothpaste, 4.8 oz Tube, 2 Pack",TOOTH_CLEANING_AGENT,,6.96,
B08NJ956KR,nan,nan,,29.99,
B08VLCSTPC,Pampers Swaddlers Newborn Diaper Size 1 96 Count,INCONTINENCE_PROTECTOR,,27.99,
B08WN3MNCH,"KIND LAUNDRY Detergent Sheets (Ocean Breeze) - Award Winning Eco Friendly Washer Soap Strips, Plant Based Liquidless Formula, Zero Waste, Biodegradable, Great for Travel, Camping (60 loads)",LAUNDRY_DETERGENT,,19.45,
B08XSMHBNY,"Dried Mango No Sugar Added, 16 oz. Dried Mangoes, Unsweetened Dried Mango Slices, Mango Dried No Sugar, All-Natural Dried Mangos, Dried Unsweetened Mango, Dry Mango from AFRICA. Non-GMO, 1 Pound.",FRUIT,,14.49,
B093CPJFFM,"Viva Multi-Surface Cloth Paper Towels, Task Size - 24 Super Rolls (81 Sheets per Roll)",PAPER_TOWEL,,32.99,
B093CPNMNR,"Viva Signature Cloth Paper Towels, Task Size - 24 Super Rolls (4 Packs of 6 Rolls) = 36 Regular Rolls (81 Sheets Per Roll)",PAPER_TOWEL,,30.59,
B095HSTXC9,"SPICY ORGANIC Ginger Powder - 100% Pure USDA Organic - Non-GMO, Gluten-Free - Comes in a Resealable Pack - Raw Ground Ginger Root - 44 Servings Per Container, 16 Oz (454 grams)",HERB,,11.98,
B09BDJKQWW,nan,nan,,218.935,
B09VCKJDS4,"Nature’s Way Alive! Women’s Gummy Multivitamins, Vitamins & Minerals, Supports Whole Body Wellness*, Vegetarian, Mixed Berry Flavored, 150 Gummies",VITAMIN,,19.6,
B0B7RXZWSP,"Rerii Bookcase, 4 Tier Kids Small Bookshelf 3 Shelf, Book Organizer Storage Open Shelf Rack, Display Shelves for Bedroom Living Room Bathroom Office, White",SHELF,,52.99,
